Section,Key,Value
Summary,sport,boxing
Summary,overall_score,76.2
Summary,total_frames,335
Summary,errors,No pose detected; Right knee alignment could improve; Left knee alignment could improve
Summary,recommendations,Wall sit

Frame,overall_score,is_correct,movement_correct,errors,joint_scores
180,79.7,True,True,Left knee alignment could improve,left_knee:53; right_knee:90; shoulders:96; hips:99; left_elbow:69; right_elbow:72
181,66.1,False,False,Left knee alignment could improve,left_knee:0; right_knee:84; shoulders:93; hips:96; left_elbow:57; right_elbow:66
182,64.7,False,False,Left knee alignment could improve,left_knee:0; right_knee:82; shoulders:92; hips:97; left_elbow:57; right_elbow:60
183,80.5,True,True,Left knee alignment could improve,left_knee:70; right_knee:98; shoulders:96; hips:98; left_elbow:55; right_elbow:66
184,80.1,True,True,Left knee alignment could improve,left_knee:60; right_knee:90; shoulders:95; hips:100; left_elbow:56; right_elbow:80
185,82.4,True,True,,left_knee:90; right_knee:79; shoulders:97; hips:98; left_elbow:57; right_elbow:73
186,83.6,True,True,,left_knee:94; right_knee:72; shoulders:98; hips:95; left_elbow:58; right_elbow:84
187,79.5,True,True,,left_knee:81; right_knee:70; shoulders:98; hips:95; left_elbow:57; right_elbow:76
188,77.7,True,True,,left_knee:73; right_knee:73; shoulders:97; hips:96; left_elbow:62; right_elbow:66
189,87.4,True,True,,left_knee:84; right_knee:97; shoulders:97; hips:96; left_elbow:60; right_elbow:89
190,86.1,True,True,,left_knee:84; right_knee:86; shoulders:97; hips:97; left_elbow:64; right_elbow:89
191,79.3,True,True,Right knee alignment could improve,left_knee:84; right_knee:53; shoulders:97; hips:98; left_elbow:63; right_elbow:80
192,77.1,True,True,Right knee alignment could improve,left_knee:94; right_knee:37; shoulders:98; hips:99; left_elbow:61; right_elbow:75
193,71.5,True,True,Right knee alignment could improve,left_knee:88; right_knee:14; shoulders:97; hips:100; left_elbow:73; right_elbow:58
194,72.5,True,True,Right knee alignment could improve,left_knee:91; right_knee:6; shoulders:98; hips:99; left_elbow:79; right_elbow:61
195,79.2,True,True,Right knee alignment could improve,left_knee:87; right_knee:0; shoulders:99; hips:98; left_elbow:96; right_elbow:95
196,73.6,True,True,Right knee alignment could improve,left_knee:73; right_knee:4; shoulders:95; hips:98; left_elbow:74; right_elbow:97
197,77.3,True,True,Left knee alignment could improve,left_knee:22; right_knee:91; shoulders:99; hips:98; left_elbow:98; right_elbow:55
198,64.5,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:20; right_knee:17; shoulders:92; hips:95; left_elbow:96; right_elbow:68
199,71.3,True,True,Right knee alignment could improve,left_knee:85; right_knee:23; shoulders:91; hips:96; left_elbow:74; right_elbow:60
200,70.4,True,True,Right knee alignment could improve,left_knee:88; right_knee:21; shoulders:90; hips:95; left_elbow:69; right_elbow:58
201,70.1,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:56; right_knee:43; shoulders:90; hips:94; left_elbow:72; right_elbow:66
202,71.1,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:68; right_knee:39; shoulders:89; hips:94; left_elbow:70; right_elbow:67
203,0.0,False,False,No pose detected,
204,69.3,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:42; right_knee:0; shoulders:93; hips:100; left_elbow:96; right_elbow:86
205,72.1,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:47; right_knee:7; shoulders:93; hips:99; left_elbow:96; right_elbow:90
206,81.3,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:49; right_knee:56; shoulders:94; hips:99; left_elbow:98; right_elbow:92
207,82.2,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:43; right_knee:69; shoulders:94; hips:99; left_elbow:98; right_elbow:90
