Section,Key,Value
Summary,sport,boxing
Summary,overall_score,70.2
Summary,total_frames,360
Summary,errors,Hips not level; Shoulders not level; Left knee alignment could improve; Right knee alignment could improve; No pose detected
Summary,recommendations,Hip bridge; Band pull-apart; Wall sit; Wrist curls

Frame,overall_score,is_correct,movement_correct,errors,joint_scores
156,61.6,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:6; right_knee:35; shoulders:97; hips:95; left_elbow:74; right_elbow:63
157,61.7,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:7; right_knee:29; shoulders:97; hips:95; left_elbow:74; right_elbow:67
158,59.3,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:8; right_knee:19; shoulders:98; hips:95; left_elbow:75; right_elbow:62
159,58.2,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:9; right_knee:14; shoulders:98; hips:95; left_elbow:75; right_elbow:58
160,58.6,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:8; right_knee:16; shoulders:98; hips:95; left_elbow:75; right_elbow:60
161,58.9,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:8; right_knee:18; shoulders:98; hips:95; left_elbow:75; right_elbow:60
162,62.1,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:8; right_knee:36; shoulders:98; hips:95; left_elbow:75; right_elbow:60
163,60.4,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:9; right_knee:25; shoulders:98; hips:95; left_elbow:75; right_elbow:60
164,59.9,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:9; right_knee:23; shoulders:97; hips:95; left_elbow:75; right_elbow:59
165,58.3,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:9; right_knee:14; shoulders:98; hips:95; left_elbow:75; right_elbow:59
166,58.1,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:9; right_knee:12; shoulders:98; hips:95; left_elbow:75; right_elbow:59
167,59.2,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:10; right_knee:11; shoulders:99; hips:95; left_elbow:75; right_elbow:66
168,58.6,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:10; right_knee:11; shoulders:99; hips:95; left_elbow:74; right_elbow:62
169,59.4,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:9; right_knee:15; shoulders:99; hips:95; left_elbow:74; right_elbow:62
170,59.4,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:9; right_knee:16; shoulders:99; hips:95; left_elbow:74; right_elbow:62
171,58.6,False,False,Left knee alignment could improve; Right knee alignment could improve,left_knee:9; right_knee:12; shoulders:100; hips:96; left_elbow:74; right_elbow:61
